,Customer_care_calls,Cost_of_the_Product,Prior_purchases,Discount_offered,Weight_in_gms,On_time,Warehouse_block_A,Warehouse_block_B,Warehouse_block_C,Warehouse_block_D,Warehouse_block_F,Mode_of_Shipment_Flight,Mode_of_Shipment_Road,Mode_of_Shipment_Ship,Product_importance_high,Product_importance_low,Product_importance_medium,Gender_F
8077,4,155,4,10,5483,1,0,0,0,0,1,0,1,0,0,1,0,1
4688,3,254,3,6,5716,0,1,0,0,0,0,0,0,1,0,0,1,0
10754,5,227,5,5,1186,0,1,0,0,0,0,0,0,1,0,0,1,0
3390,5,273,3,6,4044,1,0,0,0,1,0,0,0,1,0,0,1,0
693,3,207,7,19,2182,1,0,1,0,0,0,1,0,0,0,0,1,0
5741,4,149,2,8,5460,1,0,0,0,0,1,0,1,0,0,0,1,0
5186,4,234,3,3,5438,0,1,0,0,0,0,0,1,0,0,1,0,0
606,4,178,3,48,1819,1,0,0,0,1,0,0,0,1,0,1,0,1
1799,3,231,2,49,2341,1,0,0,0,0,1,0,0,1,0,0,1,0
6065,4,218,3,2,4949,0,0,0,0,0,1,0,0,1,0,1,0,1
5872,4,175,2,3,4200,0,0,0,1,0,0,0,1,0,0,1,0,0
10624,4,258,3,10,5916,0,0,0,1,0,0,0,0,1,0,0,1,0
1935,5,174,2,54,1091,1,0,1,0,0,0,0,0,1,0,0,1,0
2394,4,227,3,65,3984,1,0,0,0,1,0,0,0,1,0,1,0,0
1454,3,230,2,27,3840,1,1,0,0,0,0,0,0,1,0,1,0,0
3290,5,253,2,2,5643,1,1,0,0,0,0,1,0,0,1,0,0,1
3979,4,261,3,2,4140,0,0,0,0,0,1,1,0,0,0,0,1,0
5247,3,160,3,4,5132,0,0,1,0,0,0,0,0,1,0,0,1,1
3127,3,193,2,19,3097,1,0,0,0,0,1,0,1,0,0,1,0,0
8279,4,282,4,10,5065,0,0,0,0,0,1,0,0,1,0,0,1,0
6391,3,239,3,10,4486,0,0,0,0,0,1,0,0,1,0,1,0,1
5602,4,233,3,3,5740,1,0,0,1,0,0,0,1,0,0,1,0,1
1726,5,150,3,63,1807,1,0,0,1,0,0,0,0,1,0,0,1,0
5092,3,217,2,6,5182,0,0,0,1,0,0,0,0,1,0,0,1,1
236,2,130,3,48,1801,1,1,0,0,0,0,0,0,1,0,1,0,1
7594,3,176,3,10,5284,1,0,0,1,0,0,0,0,1,0,1,0,1
436,5,222,3,20,3632,1,0,0,1,0,0,0,0,1,0,1,0,1
9631,6,292,4,8,1779,1,0,0,0,0,1,0,0,1,0,0,1,0
8541,4,224,10,9,4149,0,0,1,0,0,0,0,0,1,0,0,1,1
7289,5,202,2,6,5716,0,0,0,0,0,1,0,0,1,0,1,0,1
7544,5,146,3,7,4524,1,1,0,0,0,0,1,0,0,0,1,0,1
2593,3,140,3,42,1465,1,0,0,0,0,1,0,1,0,0,1,0,1
2927,2,164,2,64,1689,1,0,0,0,0,1,0,0,1,0,0,1,0
3038,4,276,4,3,3889,1,1,0,0,0,0,0,0,1,0,1,0,1
10171,6,137,10,4,4490,0,0,0,0,0,1,0,0,1,0,1,0,1
6049,4,239,5,1,1780,1,0,0,0,0,1,0,0,1,0,1,0,1
9812,4,253,3,5,5703,0,1,0,0,0,0,0,0,1,0,1,0,1
5697,3,191,5,2,4956,1,0,1,0,0,0,0,0,1,0,0,1,0
329,4,243,4,41,2782,1,0,0,0,0,1,0,0,1,0,0,1,1
5423,5,134,2,10,5279,1,0,0,0,0,1,0,0,1,0,1,0,0
5194,4,262,3,9,4941,0,0,0,1,0,0,0,1,0,0,1,0,1
9859,4,160,4,1,5520,1,0,0,0,0,1,1,0,0,0,1,0,0
8152,4,254,3,3,4404,0,0,0,1,0,0,0,0,1,0,0,1,1
1833,3,245,4,26,2072,1,0,1,0,0,0,0,0,1,1,0,0,1
8113,3,210,3,8,4011,0,0,0,0,0,1,0,0,1,0,0,1,0
7878,3,250,2,8,5067,0,0,0,0,1,0,0,0,1,0,0,1,1
6578,2,164,5,8,1886,0,1,0,0,0,0,1,0,0,0,1,0,1
2110,4,180,3,24,1513,1,0,0,1,0,0,0,0,1,0,1,0,1
1947,3,116,2,22,1430,1,0,1,0,0,0,0,0,1,0,1,0,1
947,4,264,2,8,2436,1,0,0,0,0,1,0,1,0,0,1,0,0
7151,6,283,4,3,1374,1,0,0,0,0,1,0,0,1,0,1,0,0
6028,6,262,4,10,1068,1,0,0,1,0,0,1,0,0,0,1,0,1
10716,5,224,5,2,1022,0,0,0,0,1,0,0,0,1,0,1,0,1
7743,4,221,5,5,1608,1,0,1,0,0,0,0,0,1,0,1,0,1
6685,3,243,2,3,4675,1,0,0,0,0,1,0,0,1,0,1,0,0
10018,3,247,3,8,5194,0,0,0,1,0,0,0,0,1,0,0,1,0
3235,5,182,2,2,4554,1,0,0,0,0,1,0,0,1,0,0,1,0
3933,6,280,3,7,4620,1,0,1,0,0,0,0,0,1,0,1,0,0
5344,4,241,2,4,5942,1,0,0,1,0,0,1,0,0,0,0,1,1
10534,5,152,3,3,5981,0,0,0,1,0,0,0,1,0,0,0,1,1
8257,6,254,4,2,1174,0,0,0,0,0,1,0,0,1,0,1,0,0
9664,2,181,5,5,1043,0,0,0,1,0,0,0,0,1,0,0,1,1
8238,5,145,3,3,4077,1,0,0,0,1,0,0,0,1,0,1,0,0
5273,6,247,4,1,1668,0,0,0,0,0,1,0,0,1,0,0,1,0
6330,4,236,4,1,5783,1,0,0,0,1,0,0,0,1,0,0,1,0
10835,5,143,2,8,5291,0,0,0,0,0,1,1,0,0,0,1,0,1
1390,4,186,3,16,2693,1,0,0,1,0,0,0,0,1,0,1,0,1
4312,3,150,4,8,4433,0,0,0,1,0,0,0,0,1,0,0,1,1
2476,3,243,3,60,2980,1,0,0,1,0,0,1,0,0,0,1,0,1
8563,3,177,2,9,4648,0,0,0,0,0,1,0,0,1,1,0,0,0
6035,5,130,4,1,1877,0,0,0,0,0,1,1,0,0,0,0,1,1
6369,3,154,3,1,5322,1,0,1,0,0,0,0,0,1,0,0,1,0
3875,4,155,3,8,4924,0,0,0,0,0,1,0,0,1,0,0,1,0
5314,3,181,4,1,4971,1,0,0,1,0,0,0,0,1,1,0,0,1
475,4,133,3,59,1092,1,0,0,0,0,1,0,0,1,0,1,0,0
7700,5,199,5,6,5210,1,1,0,0,0,0,0,0,1,0,0,1,0
5483,3,252,4,10,5495,0,0,0,0,0,1,1,0,0,0,1,0,1
7071,3,198,2,8,4940,0,0,1,0,0,0,0,0,1,0,1,0,1
3011,4,157,4,12,1038,1,0,0,0,0,1,1,0,0,0,0,1,1
2758,5,149,7,50,1346,1,0,0,1,0,0,0,0,1,0,0,1,1
7617,5,256,4,5,4970,1,0,1,0,0,0,0,0,1,0,0,1,1
265,7,203,5,61,1856,1,0,0,0,0,1,0,1,0,0,0,1,1
10772,4,229,5,7,1716,1,1,0,0,0,0,0,0,1,0,0,1,1
5786,6,269,4,5,1264,1,1,0,0,0,0,0,0,1,0,1,0,0
5505,6,304,5,10,1254,1,0,1,0,0,0,0,0,1,0,0,1,1
10712,4,233,5,8,1097,0,1,0,0,0,0,0,0,1,0,1,0,1
5075,3,197,5,6,5919,0,0,0,0,0,1,1,0,0,0,0,1,1
4507,6,174,10,1,5784,1,0,0,0,0,1,0,1,0,0,0,1,1
1431,5,180,5,35,1725,1,0,1,0,0,0,0,0,1,0,0,1,0
4621,3,149,4,3,5944,1,0,0,0,0,1,0,0,1,0,0,1,1
10563,4,219,2,4,4197,1,0,1,0,0,0,1,0,0,0,1,0,0
4782,3,144,3,8,5867,1,0,0,0,1,0,0,1,0,0,0,1,0
4065,5,227,2,10,4734,0,0,1,0,0,0,0,0,1,0,0,1,0
6894,6,308,4,2,1125,1,0,0,0,1,0,0,0,1,0,1,0,0
5696,3,183,2,5,5329,1,1,0,0,0,0,0,0,1,0,1,0,0
1359,5,263,2,59,3238,1,0,1,0,0,0,0,1,0,0,0,1,0
