,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Discount_offered,Weight_in_gms,Warehouse_block_A,Warehouse_block_B,Warehouse_block_C,Warehouse_block_D,Warehouse_block_F,Mode_of_Shipment_Flight,Mode_of_Shipment_Road,Mode_of_Shipment_Ship,Product_importance_high,Product_importance_low,Product_importance_medium,Gender_F
8077,4,4,155,4,10,5483,0,0,0,0,1,0,1,0,0,1,0,1
4688,3,4,254,3,6,5716,1,0,0,0,0,0,0,1,0,0,1,0
10754,5,5,227,5,5,1186,1,0,0,0,0,0,0,1,0,0,1,0
3390,5,4,273,3,6,4044,0,0,0,1,0,0,0,1,0,0,1,0
693,3,3,207,7,19,2182,0,1,0,0,0,1,0,0,0,0,1,0
5741,4,2,149,2,8,5460,0,0,0,0,1,0,1,0,0,0,1,0
5186,4,5,234,3,3,5438,1,0,0,0,0,0,1,0,0,1,0,0
606,4,5,178,3,48,1819,0,0,0,1,0,0,0,1,0,1,0,1
1799,3,5,231,2,49,2341,0,0,0,0,1,0,0,1,0,0,1,0
6065,4,2,218,3,2,4949,0,0,0,0,1,0,0,1,0,1,0,1
5872,4,3,175,2,3,4200,0,0,1,0,0,0,1,0,0,1,0,0
10624,4,1,258,3,10,5916,0,0,1,0,0,0,0,1,0,0,1,0
1935,5,2,174,2,54,1091,0,1,0,0,0,0,0,1,0,0,1,0
2394,4,5,227,3,65,3984,0,0,0,1,0,0,0,1,0,1,0,0
1454,3,5,230,2,27,3840,1,0,0,0,0,0,0,1,0,1,0,0
3290,5,2,253,2,2,5643,1,0,0,0,0,1,0,0,1,0,0,1
3979,4,4,261,3,2,4140,0,0,0,0,1,1,0,0,0,0,1,0
5247,3,1,160,3,4,5132,0,1,0,0,0,0,0,1,0,0,1,1
3127,3,3,193,2,19,3097,0,0,0,0,1,0,1,0,0,1,0,0
8279,4,1,282,4,10,5065,0,0,0,0,1,0,0,1,0,0,1,0
6391,3,2,239,3,10,4486,0,0,0,0,1,0,0,1,0,1,0,1
5602,4,2,233,3,3,5740,0,0,1,0,0,0,1,0,0,1,0,1
1726,5,2,150,3,63,1807,0,0,1,0,0,0,0,1,0,0,1,0
5092,3,5,217,2,6,5182,0,0,1,0,0,0,0,1,0,0,1,1
236,2,3,130,3,48,1801,1,0,0,0,0,0,0,1,0,1,0,1
7594,3,3,176,3,10,5284,0,0,1,0,0,0,0,1,0,1,0,1
436,5,4,222,3,20,3632,0,0,1,0,0,0,0,1,0,1,0,1
9631,6,4,292,4,8,1779,0,0,0,0,1,0,0,1,0,0,1,0
8541,4,4,224,10,9,4149,0,1,0,0,0,0,0,1,0,0,1,1
7289,5,3,202,2,6,5716,0,0,0,0,1,0,0,1,0,1,0,1
